Question,Answer
"What are the daily transfer limits?","Our platform sets daily transfer limits based on your account verification level. Fully verified users can typically send up to $10,000 per day, while unverified users may have a lower cap. You can view your specific limit in the app under 'Account Limits'."
"Can I schedule a future transfer?","Yes, you can schedule a transfer for a future date. In the transfer screen, choose 'Schedule' and select the desired date. The transfer will be automatically processed on that day."
"Why is my transfer still pending after 3 days?","Transfers may remain pending if the receiving bank is taking longer to process the ACH request, or if additional security checks are triggered. If a transfer is pending beyond 3 business days, contact support with the transaction ID for investigation."
"Do you support instant payouts to debit cards?","Yes, we support instant payouts to eligible debit cards (Visa Direct or Mastercard Send). Fees may apply and limits depend on your account status."
"The app is not sending push notifications. How do I fix this?","Check that notifications are enabled in your phone’s settings and in-app preferences. Ensure you have a stable internet connection. If issues persist, log out and back in or reinstall the app."
"Why is my balance not updating after a transfer?","Sometimes balances take a few minutes to refresh. Try pulling down to refresh in the app. If it still looks incorrect after 30 minutes, contact support with the transaction ID."
"Can I use the platform on multiple devices?","Yes, you can log in on multiple devices. For security, we may ask for additional verification when you log in from a new device."
"What is biometric login and should I enable it?","Biometric login lets you use Face ID or fingerprint recognition to sign in quickly. It is secure and recommended for convenience and added protection."
"How can I review active sessions on my account?","Go to Settings > Security > Active Sessions to view all logged-in devices. You can revoke access for any device you don't recognize."
"Do you send alerts for suspicious logins?","Yes, we send email and push notifications if we detect a login from a new location or device. You can configure alert preferences in Security Settings."
"Do you report transactions to tax authorities?","We may report certain transactions as required by law (for example, Form 1099-K in the U.S. if thresholds are met). Review our tax FAQ for details based on your region."
"Can I have more than one account?","Each individual is allowed one personal account. Business accounts may be available if supported in your region."
"Can I change the phone number linked to my account?","Yes, navigate to Settings > Personal Info and update your phone number. We will send a verification code to confirm the change."
"What is the capital of France?","This is unrelated to our services. For general knowledge questions, please use a search engine."
"Who won the 2018 FIFA World Cup?","This is outside the scope of financial support."
"How's the weather?","As a financial chatbot, I am unable to assist with this. If you have any financial questions I would be happy to help!"
